,dt_1,dE_1,power.rails.gpu,dt_21,dE_21,power.rails.display,dt_14,dE_14,power.rails.cpu.big,dt_13,dE_13,power.rails.cpu.mid,dt_15,dE_15,power.rails.cpu.little,dt_3,dE_3,power.rails.ddr.a,dt_8,dE_8,power.rails.ddr.b,dt_2,dE_2,power.rails.ddr.c,dt_12,dE_12,power.rails.memory.interface,dt_17,dE_17,power.rails.ldo.main.a,dt_19,dE_19,power.rails.ldo.main.b,dt_7,dE_7,power.rails.ldo.sub
12,0.188,0.000178,0.0009468085106382979,0.188,0.050172999999999995,0.2668776595744681,0.188,0.0,0.0,0.188,0.00039299999999999996,0.0020904255319148936,0.188,0.006810999999999999,0.036228723404255314,0.188,0.001284,0.006829787234042553,0.188,0.001292,0.006872340425531915,0.188,0.002679,0.01425,0.188,0.002227,0.011845744680851063,0.188,0.008829,0.046962765957446806,0.188,0.008752,0.0465531914893617,0.188,0.004573,0.024324468085106382
13,0.25,0.00022999999999999998,0.0009199999999999999,0.25,0.035834,0.143336,0.25,0.0,0.0,0.25,0.000509,0.002036,0.25,0.008851,0.035404,0.25,0.001627,0.006508,0.25,0.0015379999999999999,0.0061519999999999995,0.25,0.003433,0.013732,0.25,0.0028899999999999998,0.011559999999999999,0.25,0.011484999999999999,0.045939999999999995,0.25,0.011495,0.04598,0.25,0.006241,0.024964
14,0.24900000000000003,0.000225,0.0009036144578313252,0.24900000000000003,0.057944999999999997,0.23271084337349393,0.24900000000000003,0.0,0.0,0.24900000000000003,0.00048499999999999997,0.0019477911646586343,0.24900000000000003,0.009925999999999999,0.03986345381526104,0.24900000000000003,0.001774,0.00712449799196787,0.24900000000000003,0.0018789999999999998,0.007546184738955822,0.24900000000000003,0.003941,0.01582730923694779,0.24900000000000003,0.003379,0.01357028112449799,0.24900000000000003,0.011769,0.04726506024096385,0.24900000000000003,0.011535,0.04632530120481927,0.24900000000000003,0.006364,0.025558232931726904
15,0.318,0.000667,0.0020974842767295596,0.318,0.062592,0.19683018867924526,0.318,0.0,0.0,0.318,0.006996,0.022,0.318,0.016227,0.05102830188679245,0.318,0.002261,0.007110062893081761,0.318,0.002444,0.007685534591194969,0.318,0.005395,0.016965408805031446,0.318,0.006514,0.02048427672955975,0.318,0.015505,0.048757861635220126,0.318,0.014903999999999999,0.04686792452830188,0.318,0.009500999999999999,0.029877358490566035
16,0.18300000000000002,0.000157,0.0008579234972677594,0.18300000000000002,0.027717,0.15145901639344259,0.18300000000000002,0.0,0.0,0.18300000000000002,0.00033999999999999997,0.0018579234972677591,0.18300000000000002,0.006068,0.033158469945355186,0.18300000000000002,0.0011589999999999999,0.0063333333333333314,0.18300000000000002,0.001256,0.0068633879781420755,0.18300000000000002,0.002754,0.01504918032786885,0.18300000000000002,0.0021709999999999998,0.011863387978142074,0.18300000000000002,0.008668,0.04736612021857923,0.18300000000000002,0.008401,0.04590710382513661,0.18300000000000002,0.004436,0.024240437158469942
17,0.251,0.000224,0.0008924302788844621,0.251,0.057567,0.22935059760956175,0.251,0.0034999999999999996,0.01394422310756972,0.251,0.000592,0.002358565737051793,0.251,0.0074199999999999995,0.029561752988047807,0.251,0.001674,0.006669322709163346,0.251,0.001658,0.006605577689243028,0.251,0.003593,0.014314741035856574,0.251,0.002715,0.010816733067729083,0.251,0.0117,0.04661354581673307,0.251,0.011583,0.04614741035856573,0.251,0.006150999999999999,0.024505976095617527
18,0.24900000000000003,0.00022899999999999998,0.0009196787148594375,0.24900000000000003,0.035810999999999996,0.1438192771084337,0.24900000000000003,0.0,0.0,0.24900000000000003,0.00046899999999999996,0.0018835341365461844,0.24900000000000003,0.010163,0.0408152610441767,0.24900000000000003,0.001695,0.006807228915662649,0.24900000000000003,0.001651,0.006630522088353413,0.24900000000000003,0.003558,0.014289156626506023,0.24900000000000003,0.0032229999999999997,0.012943775100401605,0.24900000000000003,0.011687,0.046935742971887545,0.24900000000000003,0.011613,0.04663855421686747,0.24900000000000003,0.007527,0.0302289156626506
19,0.311,0.00028,0.00090032154340836,0.312,0.06974,0.22352564102564101,0.312,0.0008619999999999999,0.0027628205128205127,0.312,0.000996,0.003192307692307692,0.312,0.015881,0.05090064102564102,0.311,0.0021,0.006752411575562701,0.311,0.002435,0.007829581993569132,0.311,0.004968,0.01597427652733119,0.312,0.004595,0.014727564102564103,0.312,0.014962999999999999,0.04795833333333333,0.312,0.014485999999999999,0.046429487179487174,0.311,0.008024,0.02580064308681672
20,0.19,0.000173,0.0009105263157894737,0.189,0.032552,0.1722328042328042,0.189,0.0,0.0,0.189,0.000414,0.00219047619047619,0.189,0.006763,0.035783068783068785,0.19,0.0012129999999999999,0.006384210526315789,0.19,0.001279,0.006731578947368421,0.19,0.003153,0.016594736842105263,0.189,0.0022229999999999997,0.01176190476190476,0.189,0.008923,0.04721164021164021,0.189,0.008860999999999999,0.04688359788359788,0.19,0.006862,0.03611578947368421
21,0.251,0.000226,0.0009003984063745019,0.251,0.052589,0.2095179282868526,0.251,0.0,0.0,0.251,0.000529,0.0021075697211155376,0.251,0.0073279999999999994,0.029195219123505974,0.251,0.00162,0.00645418326693227,0.251,0.001617,0.006442231075697211,0.251,0.0038399999999999997,0.015298804780876493,0.251,0.002804,0.011171314741035858,0.251,0.011448,0.04560956175298805,0.251,0.011595999999999999,0.046199203187250994,0.251,0.006268,0.02497211155378486
22,0.24800000000000003,0.000232,0.0009354838709677418,0.24800000000000003,0.050081999999999995,0.20194354838709674,0.24800000000000003,0.0,0.0,0.24800000000000003,0.000479,0.0019314516129032256,0.24800000000000003,0.00788,0.03177419354838709,0.24800000000000003,0.0017259999999999999,0.006959677419354837,0.24800000000000003,0.001697,0.00684274193548387,0.24800000000000003,0.003692,0.014887096774193547,0.24800000000000003,0.0029029999999999998,0.01170564516129032,0.24800000000000003,0.011476,0.04627419354838709,0.24800000000000003,0.011434999999999999,0.046108870967741925,0.24800000000000003,0.006391,0.025770161290322578
